날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-06-26,쿠팡,1,쿠팡,"HP 2024 15 라이젠5 16GB, 512GB",HP,라이젠5,integrated,16GB,512GB,,,,799000,799000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8099175514&ctag=8099175514&lptag=I24484671869&itemId=24484671869&vendorItemId=90175431639&spec=10305197
2026-06-26,쿠팡,2,쿠팡,레노버 2022 아이디어패드 슬림 1 15AMN7 15.6 라이젠3 라이젠 7000 시리즈,Lenovo,라이젠3,integrated,,,,,,687000,687000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9066984399&ctag=9066984399&lptag=l673872780121&itemId=70171878362&vendorItemId=84281482577&spec=10305197
2026-06-26,쿠팡,3,쿠팡,에이서 2025 프레데터 헬리오스 네오 16 AI 코어Ultra9 지포스 RTX 5070 Ti,Acer,,RTX 5070,,,,,,2909000,2909000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8289883573&ctag=8289883573&lptag=l823861253092&itemId=52289836031&vendorItemId=92909249701&spec=10305197
2026-06-26,쿠팡,4,쿠팡,Apple 맥북 네오 A18 Pro칩,Apple,,integrated,,,,,,960000,960000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=4391113886&ctag=4391113886&lptag=l230179454722&itemId=77249203541&vendorItemId=94928364944&spec=10305197
2026-06-26,쿠팡,5,쿠팡,HP 2024 노트북 15 라이젠5 라이젠 7000 시리즈 Radeon,HP,라이젠5,Radeon,,,,,,799000,799000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=0987951451&ctag=0987951451&lptag=l187684244269&itemId=48264146798&vendorItemId=90175431639&spec=10305197
2026-06-26,지마켓,1,G마켓,레노버 노트북 레노버 Thinkpad X13 메모리 32GB 윈도우11 슬림 노트북,Lenovo,,integrated,32GB,,,,,527140,527140,,https://link.gmarket.co.kr/gate/pcs?item-no=4618650265&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-26,지마켓,2,G마켓,삼성전자 갤럭시북4 NT750XGR-A71A 인텔 i7 FHD 15.6 대화면 인강용 재택근무 노트북,삼성전자,I7,integrated,,,,,,1448900,1448900,,https://link.gmarket.co.kr/gate/pcs?item-no=3639127422&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-26,지마켓,3,G마켓,레노버 레노버 V15 13세대 i5 아이디어패드 15.6형 i5 16GB 256GB 윈도우11 홈 (5세대),Lenovo,I5,integrated,16GB,256GB,,15.6형,,899000,899000,,https://link.gmarket.co.kr/gate/pcs?item-no=3947230834&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-26,지마켓,4,G마켓,삼성전자 삼성 갤럭시북5 NT751XHD-K01/B RAM16G SSD256 WIN11 Y,삼성전자,,integrated,,,WIN 11 HOME,,,1600500,1600500,,https://link.gmarket.co.kr/gate/pcs?item-no=4745167192&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-26,지마켓,5,G마켓,LG전자 LG그램북 15UD50U-GX5KK U5 16GB 256GB,LG전자,,integrated,16GB,256GB,,,,1235470,1235470,,https://link.gmarket.co.kr/gate/pcs?item-no=4686136526&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-26,네이버,1,삼성공식파트너 코인비엠에스,삼성 갤럭시북 인강용 사무용 윈도우11 저가 싼 노트북 기본팩,삼성전자,,integrated,,,,,,498000,498000,,https://smartstore.naver.com/main/products/10407884292
2026-06-26,네이버,2,네이버,"LG전자 LG그램 14ZD95U-GX56K RAM 16GB, 256GB",LG전자,,integrated,16GB,256GB,,,,1529000,1529000,,https://search.shopping.naver.com/catalog/58488180590
2026-06-26,네이버,3,베이직스 스토어,베이직북16 사무용 가벼운 노트북 인강용 업무용 영상편집 윈도우11 16GB/512GB,Basics,,integrated,16GB,512GB,,,,858000,858000,,https://smartstore.naver.com/main/products/11149376385
2026-06-26,네이버,4,네이버,"LG전자 LG그램 노트북 14ZD95U-GX59K RAM 32GB, 1TB",LG전자,,integrated,32GB,1TB,,,,2028000,2028000,,https://search.shopping.naver.com/catalog/59387849996
2026-06-26,네이버,5,네이버,"삼성전자 갤럭시북4 노트북 NT750XGR-A51A 16GB, 256GB",삼성전자,,integrated,16GB,256GB,,,,1155480,1155480,,https://search.shopping.naver.com/catalog/52631236642
