날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-06-28,쿠팡,1,쿠팡,"HP 2024 15 라이젠5 16GB, 512GB",HP,라이젠5,integrated,16GB,512GB,,,,799000,799000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8099175514&ctag=8099175514&lptag=I24484671869&itemId=24484671869&vendorItemId=90175431639&spec=10305197
2026-06-28,쿠팡,2,쿠팡,레노버 2022 아이디어패드 슬림 1 15AMN7 15.6 라이젠3 라이젠 7000 시리즈,Lenovo,라이젠3,integrated,,,,,,687000,687000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9066984399&ctag=9066984399&lptag=l673872780121&itemId=70171878362&vendorItemId=84281482577&spec=10305197
2026-06-28,쿠팡,3,쿠팡,레노버 LOQ 15ARP10E 83S000E3KR 라이젠7 RTX 4050 16GB 512GB 게이밍 노트북 15.6인치 프리도스 루나그레이 IPS 놋북 랩탑 랩톱 4050 로크,Lenovo,라이젠7,RTX 4050,16GB,512GB,,15.6인치,,1159000,1159000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9386177442&ctag=9386177442&lptag=I27869853078&itemId=27869853078&vendorItemId=94829065603&spec=10305197
2026-06-28,쿠팡,4,쿠팡,에이수스 2025 ROG 플로우 Z13 GZ302EA-RU110W 라이젠 AI 300 64GB 1TB WIN11 2in1 게이밍 노트북 태블릿 13.4인치 터치 IPS,ASUS,,integrated,64GB,1TB,WIN 11 HOME,13.4인치,,3739000,3739000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8605696882&ctag=8605696882&lptag=I24949683881&itemId=24949683881&vendorItemId=91955579250&spec=10305197
2026-06-28,쿠팡,5,쿠팡,HP 2023 빅터스 16 코어i5 인텔 13세대 지포스 RTX 4060,HP,,RTX 4060,,,,,,1349000,1349000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=6574835720&ctag=6574835720&lptag=l140225901582&itemId=92150250814&vendorItemId=86149803397&spec=10305197
2026-06-28,쿠팡,6,쿠팡,에이수스 2025 젠북 A14 UX3407QA-SB284W 스냅드래곤 X 16GB 512GB Win11 차세대 AI PC 노트북 랩탑 14인치 가벼운 경량 윈도우11 놋북 휴대용,ASUS,스냅드래곤 X,integrated,16GB,512GB,WIN 11 HOME,14인치,,1497000,1497000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8579806173&ctag=8579806173&lptag=I24867355094&itemId=24867355094&vendorItemId=91874318252&spec=10305197
2026-06-28,쿠팡,7,쿠팡,에이서 2025 프레데터 헬리오스 네오 16 AI 코어Ultra9 지포스 RTX 5070 Ti,Acer,,RTX 5070,,,,,,2909000,2909000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8289883573&ctag=8289883573&lptag=l823861253092&itemId=52289836031&vendorItemId=92909249701&spec=10305197
2026-06-28,쿠팡,8,쿠팡,2024 맥북 Air 13인치 M3 A2681 MAC OS 256GB 16GB 스타라이트,Apple,,integrated,256GB,,,13인치,,1618000,1618000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9570666315&ctag=9570666315&lptag=I28565199043&itemId=28565199043&vendorItemId=95509683701&spec=10305199
2026-06-28,쿠팡,9,쿠팡,레노버 2025 아이디어패드 1 15IJL7 15.6 셀러론 N5100,Lenovo,N5100,integrated,,,,,,399000,399000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=5686832325&ctag=5686832325&lptag=l393264128981&itemId=49298113368&vendorItemId=91898552238&spec=10305197
2026-06-28,쿠팡,10,쿠팡,HP 2024 노트북 15 라이젠5 라이젠 7000 시리즈 Radeon,HP,라이젠5,Radeon,,,,,,799000,799000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=0987951451&ctag=0987951451&lptag=l187684244269&itemId=48264146798&vendorItemId=90175431639&spec=10305197
2026-06-28,쿠팡,11,쿠팡,삼성 갤럭시북S NT767XCM 8GB 256GB 13인치 노트북 WIN11 Home,삼성전자,,integrated,8GB,256GB,WIN 11 HOME,13인치,,690000,690000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9461296183&ctag=9461296183&lptag=I28153254001&itemId=28153254001&vendorItemId=93571200947&spec=10305199
2026-06-28,쿠팡,12,쿠팡,에이수스 2026 젠북 듀오 14 코어Ultra9 인텔 14세대,ASUS,,integrated,,,,,,3549000,3549000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=3297274939&ctag=3297274939&lptag=l932696377214&itemId=73276419936&vendorItemId=94594629809&spec=10305197
2026-06-28,쿠팡,13,쿠팡,에이수스 2025 비보북 16 코어Ultra5,ASUS,,integrated,,,,,,1099000,1099000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=5382927838&ctag=5382927838&lptag=l412772684598&itemId=41249876857&vendorItemId=91923824133&spec=10305197
2026-06-28,쿠팡,14,쿠팡,HP 2025 오멘 맥스 16 라이젠 AI 지포스 RTX 5070 Ti,HP,,RTX 5070,,,,,,3450000,3450000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=7183761967&ctag=7183761967&lptag=l119352325523&itemId=51235933215&vendorItemId=92505305899&spec=10305197
2026-06-28,쿠팡,15,쿠팡,삼성 노트북 9 Metal 초경량 860g 13인치 i5-7세대 8GB 256GB,삼성전자,I5,integrated,8GB,256GB,,13인치,,399000,399000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9495063720&ctag=9495063720&lptag=I28282546579&itemId=28282546579&vendorItemId=95235534236&spec=10305199
2026-06-28,쿠팡,16,쿠팡,삼성 13인치 슬림형 아티브 풀HD 노트북,삼성전자,,integrated,,,,13인치,,194000,194000,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=7956342235&ctag=7956342235&lptag=I21982956007&itemId=21982956007&vendorItemId=89030570158&spec=10305199
