날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-07-01,쿠팡,6,쿠팡,베이직스 2024 베이직북 14 N-시리즈,Basics,,integrated,,,,,,556140,556140,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9128826497&itemId=26858848404&vendorItemId=92984476751&traceid=V0-153-2bd89178e148d112&requestid=20260701091136637161658675&token=31850C%7CGM
2026-07-01,쿠팡,8,쿠팡,레노버 2025 LOQ 15AHP10 라이젠7 라이젠 200 시리즈 지포스 RTX 5060,Lenovo,라이젠7,RTX 5060,,,,,,1649000,1649000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9018633339&itemId=26440741094&vendorItemId=93416362417&traceid=V0-153-027a624ccd4841b1&requestid=20260701091136637161658675&token=31850C%7CGM
2026-07-01,쿠팡,9,쿠팡,레노버 2025 아이디어패드 1 15IJL7 15.6 셀러론 N5100,Lenovo,N5100,integrated,,,,,,399000,399000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8586262353&itemId=24891931836&vendorItemId=91898552238&traceid=V0-153-f57f8da39dda52fa&requestid=20260701091136637161658675&token=31850C%7CGM
2026-07-01,지마켓,1,G마켓,레노버 노트북 레노버 Thinkpad X13 메모리 32GB 윈도우11 슬림 노트북,Lenovo,,integrated,32GB,,,,,527140,527140,,https://link.gmarket.co.kr/gate/pcs?item-no=4618650265&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-01,지마켓,3,G마켓,레노버 레노버 V15 13세대 i5 아이디어패드 15.6형 혜택가 84만 i5 16GB 256GB 윈도우11 홈 (5세대),Lenovo,I5,integrated,16GB,256GB,,15.6형,,912900,912900,,https://link.gmarket.co.kr/gate/pcs?item-no=3947230834&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-01,지마켓,5,G마켓,에이수스 ASUS TUF A14 FA401UM-RG007 라이젠7-260/32GB/RTX5060 QHD 게이밍 노트북 겜트북,ASUS,라이젠7,RTX5060,32GB,,,,,2849000,2849000,,https://link.gmarket.co.kr/gate/pcs?item-no=4457738717&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-01,지마켓,6,G마켓,Apple 맥북에어 M3 16GB 512GB 8코어 CPU A3113 13인치 노트북,Apple,,integrated,16GB,512GB,,13인치,,1656610,1656610,,https://link.gmarket.co.kr/gate/pcs?item-no=4541008911&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-01,지마켓,8,G마켓,애플 맥북프로 14 M1 Pro 8CPU 14GPU 16GB 스페이스 그레이 S,Apple,,integrated,16GB,,,,,1261000,1261000,,https://link.gmarket.co.kr/gate/pcs?item-no=4766918484&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-01,지마켓,19,G마켓,레노버 노트북 레노버 ThinkPad X13 Gen1 메모리 32GB SSD512GB Windows11 전용박스,Lenovo,,integrated,32GB,512GB,WIN 11 HOME,,,626400,626400,,https://link.gmarket.co.kr/gate/pcs?item-no=4618661624&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-01,지마켓,22,G마켓,기가바이트 기가바이트 Gaming A16 3WHD 라이젠 R7 RTX5070 지포스 게이밍 노트북 QHD,Gigabyte,,RTX5070,,,,,,2699920,2699920,,https://link.gmarket.co.kr/gate/pcs?item-no=4468443188&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-01,지마켓,23,G마켓,애플 맥북에어13 M3 CPU 8코어 GPU 10코어 램 16GB SSD 512GB 블루,Apple,,integrated,16GB,512GB,,,,1415200,1415200,,https://link.gmarket.co.kr/gate/pcs?item-no=4760813180&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-01,지마켓,24,G마켓,레노버 Slim3-17ABA7 R5 R5 5625U 8G 256G IPS 300nit DOS 아틱그레이,Lenovo,,integrated,,,,,,685020,685020,,https://link.gmarket.co.kr/gate/pcs?item-no=2753808690&sub-id=1003&service-code=10000003&lcd=100000002
