날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-06-30,쿠팡,2,쿠팡,"베이직스 2026 베이직북 16 N 시리즈, BasicWhite, 512GB, 16GB, WIN11 Home, BB1624FW-S",Basics,,integrated,512GB,,WIN 11 HOME,,,858000,858000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8416720242&itemId=24652511081&vendorItemId=94724509349&traceid=V0-153-72062d0cfe57ed0e&clickBeacon=99181210-7460-11f1-a293-cd72c8545bb1%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,4,쿠팡,"베이직스 2024 베이직북 14 N-시리즈, BasicWhite, 512GB, 16GB, WIN11 Home, BB1422SS-N",Basics,,integrated,512GB,,WIN 11 HOME,,,758000,758000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9128826497&itemId=26208508693&vendorItemId=93187616252&traceid=V0-153-2bd89178e148d112&clickBeacon=99181210-7460-11f1-a9d0-2642033a75d2%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,5,쿠팡,"베이직스 2026 베이직북 16 프로 라이젠5 라이젠 7000 시리즈, White, BP1625FW, 256GB, 16GB, WIN11 Home",Basics,라이젠5,integrated,256GB,,WIN 11 HOME,,,898000,898000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9342312789&itemId=27707492103&vendorItemId=94669087184&traceid=V0-153-2f693420e18223e2&clickBeacon=99181210-7460-11f1-84f0-3054ce1fc234%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,8,쿠팡,베이직스 2024 베이직북 14 N-시리즈,Basics,,integrated,,,,,,558000,558000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9128826497&itemId=26858848404&vendorItemId=92984476751&traceid=V0-153-2bd89178e148d112&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,지마켓,1,G마켓,레노버 노트북 레노버 Thinkpad X13 메모리 32GB 윈도우11 슬림 노트북,Lenovo,,integrated,32GB,,,,,527140,527140,,https://link.gmarket.co.kr/gate/pcs?item-no=4618650265&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,2,G마켓,레노버 레노버 V15 13세대 i5 아이디어패드 15.6형 i5 16GB 256GB 윈도우11 홈 (5세대),Lenovo,I5,integrated,16GB,256GB,,15.6형,,942990,942990,,https://link.gmarket.co.kr/gate/pcs?item-no=3947230834&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,3,G마켓,애플 애플 맥북 네오 (A18 Pro) 8GB 256GB 블러시 MHFH4KH/A,Apple,,integrated,8GB,256GB,,,,1190000,1190000,,https://link.gmarket.co.kr/gate/pcs?item-no=4691520962&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,5,G마켓,에이수스 ASUS TUF A14 FA401UM-RG007 라이젠7-260/32GB/RTX5060 QHD 게이밍 노트북 겜트북,ASUS,라이젠7,RTX5060,32GB,,,,,2910930,2910930,,https://link.gmarket.co.kr/gate/pcs?item-no=4457738717&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,7,G마켓,Apple 맥북에어 M3 16GB 512GB 8코어 CPU A3113 13인치 노트북,Apple,,integrated,16GB,512GB,,13인치,,1656610,1656610,,https://link.gmarket.co.kr/gate/pcs?item-no=4541008911&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,9,G마켓,애플 맥북프로 14 M1 Pro 8CPU 14GPU 16GB 스페이스 그레이 S,Apple,,integrated,16GB,,,,,1261000,1261000,,https://link.gmarket.co.kr/gate/pcs?item-no=4766918484&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,20,G마켓,레노버 노트북 레노버 ThinkPad X13 Gen1 메모리 32GB SSD512GB Windows11 전용박스,Lenovo,,integrated,32GB,512GB,WIN 11 HOME,,,626400,626400,,https://link.gmarket.co.kr/gate/pcs?item-no=4618661624&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,22,G마켓,애플 맥북에어13 M3 CPU 8코어 GPU 10코어 램 16GB SSD 512GB 블루,Apple,,integrated,16GB,512GB,,,,1415200,1415200,,https://link.gmarket.co.kr/gate/pcs?item-no=4760813180&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,23,G마켓,기가바이트 GIGABYTE AERO X16 1VH 93KRC94D(루나 화이트),Gigabyte,,integrated,,,,,,2149000,2149000,,https://link.gmarket.co.kr/gate/pcs?item-no=4427754653&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,24,G마켓,레노버 Slim3-17ABA7 R5 R5 5625U 8G 256G IPS 300nit DOS 아틱그레이,Lenovo,,integrated,,,,,,685020,685020,,https://link.gmarket.co.kr/gate/pcs?item-no=2753808690&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,30,G마켓,기가바이트 기가바이트 Gaming A16 3WHD 라이젠 R7 RTX5070 지포스 게이밍 노트북 QHD,Gigabyte,,RTX5070,,,,,,2949000,2949000,,https://link.gmarket.co.kr/gate/pcs?item-no=4468443188&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,31,G마켓,기가바이트 기가바이트 Gaming A16 3VH 라이젠 AMD R7 RTX5060 지포스 게이밍 노트북 QHD,Gigabyte,,RTX5060,,,,,,1899000,1899000,,https://link.gmarket.co.kr/gate/pcs?item-no=4468443102&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,32,G마켓,2025 애플 맥북 에어 M4 칩 13인치 16GB 램 512GB SSD 저장장치 실버 비시,Apple,,integrated,16GB,512GB,,13인치,,1704830,1704830,,https://link.gmarket.co.kr/gate/pcs?item-no=4790628852&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,33,G마켓,레노버 레노버 Slim3 15ARP10 R5 256GB DOS 라이젠5 /8GB/256GB/DOS,Lenovo,라이젠5,integrated,256GB,,,,,848640,848640,,https://link.gmarket.co.kr/gate/pcs?item-no=4772976902&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,40,G마켓,기가바이트 GIGABYTE AERO X16 1VH 93KRC94A(스페이스 그레이),Gigabyte,,integrated,,,,,,2149000,2149000,,https://link.gmarket.co.kr/gate/pcs?item-no=4427754714&sub-id=1003&service-code=10000003&lcd=100000002
