날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-06-30,쿠팡,1,쿠팡,"삼성 갤럭시북5 프로 NT960XHZ-A72A 16인치 인텔 울트라7 32G램 대학생 고해상도 터치 디스플레이 WQXGA+ 루나레이크 노트북 추천, 갤럭시북5 프로, WIN11 Home, 32GB, 1TB, 그레이",삼성전자,,integrated,32GB,1TB,WIN 11 HOME,16인치,,3299000,3299000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8586146651&itemId=24891543234&vendorItemId=91898171251&traceid=V0-153-4321f63c217feb1d&clickBeacon=99181210-7460-11f1-8d3c-c9e977256cb2%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,2,쿠팡,"베이직스 2026 베이직북 16 N 시리즈, BasicWhite, 512GB, 16GB, WIN11 Home, BB1624FW-S",Basics,,integrated,512GB,,WIN 11 HOME,,,858000,858000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8416720242&itemId=24652511081&vendorItemId=94724509349&traceid=V0-153-72062d0cfe57ed0e&clickBeacon=99181210-7460-11f1-a293-cd72c8545bb1%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,3,쿠팡,"삼성 갤럭시북5 프로 NT960XHA-K71AR / NT960XHZ-A72A 16인치 인텔 울트라7 코딩용 대학생 고사양 고해상도 터치 디스플레이 WQXGA+ AI 노트북 추천, 갤럭시북5 프로, WIN11 Home, 32GB, 1TB, 그레이",삼성전자,,integrated,32GB,1TB,WIN 11 HOME,16인치,,3299000,3299000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8524295952&itemId=24679857206&vendorItemId=91689891030&traceid=V0-153-f50c848ece3960ad&clickBeacon=99181210-7460-11f1-a06b-c19d1415f3ee%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,4,쿠팡,"베이직스 2024 베이직북 14 N-시리즈, BasicWhite, 512GB, 16GB, WIN11 Home, BB1422SS-N",Basics,,integrated,512GB,,WIN 11 HOME,,,758000,758000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9128826497&itemId=26208508693&vendorItemId=93187616252&traceid=V0-153-2bd89178e148d112&clickBeacon=99181210-7460-11f1-a9d0-2642033a75d2%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,5,쿠팡,"베이직스 2026 베이직북 16 프로 라이젠5 라이젠 7000 시리즈, White, BP1625FW, 256GB, 16GB, WIN11 Home",Basics,라이젠5,integrated,256GB,,WIN 11 HOME,,,898000,898000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9342312789&itemId=27707492103&vendorItemId=94669087184&traceid=V0-153-2f693420e18223e2&clickBeacon=99181210-7460-11f1-84f0-3054ce1fc234%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,6,쿠팡,LG 울트라PC 15U560 6세대 i5 지포스940M 15.6인치 윈도우10,LG전자,I5,integrated,,,,15.6인치,,298000,298000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=6359373947&itemId=13418949659&vendorItemId=95217544143&traceid=V0-153-7d8369939570924a&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,7,쿠팡,삼성노트북 6세대 코어i5 블랙 사무용 8GB 128GB NT371B5L,삼성전자,,integrated,8GB,128GB,,,,188200,188200,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8717120207&itemId=25318773994&vendorItemId=95577046908&traceid=V0-153-d2c6658c84770649&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,8,쿠팡,베이직스 2024 베이직북 14 N-시리즈,Basics,,integrated,,,,,,558000,558000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9128826497&itemId=26858848404&vendorItemId=92984476751&traceid=V0-153-2bd89178e148d112&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,9,쿠팡,삼성 노트북/NT200B5C/NT371B5J /I5 3320M 4G SSD128G/15.6인치 WIN10 Pro,삼성전자,I5 3320M,integrated,,,Windows,15.6인치,,173900,173900,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=4843128862&itemId=14384439152&vendorItemId=95557511760&traceid=V0-153-7ce1e5108b17dfa4&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,10,쿠팡,[삼성전자 공식파트너] 갤럭시북Go NT345XPA-K14AS 윈도우11 14인치 휴대용 가성비 학생용 문서작성 5G LTE,삼성전자,,integrated,,,,14인치,,498000,498000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8036829511&itemId=22489515360&vendorItemId=89531729651&traceid=V0-153-0adce3905cc2bf42&requestid=20260630174925900306018789&token=31850C%7CMIXED
