날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-06-30,쿠팡,1,쿠팡,"삼성 갤럭시북5 프로 NT960XHZ-A72A 16인치 인텔 울트라7 32G램 대학생 고해상도 터치 디스플레이 WQXGA+ 루나레이크 노트북 추천, 갤럭시북5 프로, WIN11 Home, 32GB, 1TB, 그레이",삼성전자,,integrated,32GB,1TB,WIN 11 HOME,16인치,,3299000,3299000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8586146651&itemId=24891543234&vendorItemId=91898171251&traceid=V0-153-4321f63c217feb1d&clickBeacon=99181210-7460-11f1-8d3c-c9e977256cb2%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,2,쿠팡,"베이직스 2026 베이직북 16 N 시리즈, BasicWhite, 512GB, 16GB, WIN11 Home, BB1624FW-S",Basics,,integrated,512GB,,WIN 11 HOME,,,858000,858000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8416720242&itemId=24652511081&vendorItemId=94724509349&traceid=V0-153-72062d0cfe57ed0e&clickBeacon=99181210-7460-11f1-a293-cd72c8545bb1%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,3,쿠팡,"삼성 갤럭시북5 프로 NT960XHA-K71AR / NT960XHZ-A72A 16인치 인텔 울트라7 코딩용 대학생 고사양 고해상도 터치 디스플레이 WQXGA+ AI 노트북 추천, 갤럭시북5 프로, WIN11 Home, 32GB, 1TB, 그레이",삼성전자,,integrated,32GB,1TB,WIN 11 HOME,16인치,,3299000,3299000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8524295952&itemId=24679857206&vendorItemId=91689891030&traceid=V0-153-f50c848ece3960ad&clickBeacon=99181210-7460-11f1-a06b-c19d1415f3ee%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,4,쿠팡,"베이직스 2024 베이직북 14 N-시리즈, BasicWhite, 512GB, 16GB, WIN11 Home, BB1422SS-N",Basics,,integrated,512GB,,WIN 11 HOME,,,758000,758000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9128826497&itemId=26208508693&vendorItemId=93187616252&traceid=V0-153-2bd89178e148d112&clickBeacon=99181210-7460-11f1-a9d0-2642033a75d2%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,쿠팡,5,쿠팡,"베이직스 2026 베이직북 16 프로 라이젠5 라이젠 7000 시리즈, White, BP1625FW, 256GB, 16GB, WIN11 Home",Basics,라이젠5,integrated,256GB,,WIN 11 HOME,,,898000,898000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9342312789&itemId=27707492103&vendorItemId=94669087184&traceid=V0-153-2f693420e18223e2&clickBeacon=99181210-7460-11f1-84f0-3054ce1fc234%7E3&requestid=20260630174925900306018789&token=31850C%7CMIXED
2026-06-30,지마켓,1,G마켓,레노버 노트북 레노버 Thinkpad X13 메모리 32GB 윈도우11 슬림 노트북,Lenovo,,integrated,32GB,,,,,527140,527140,,https://link.gmarket.co.kr/gate/pcs?item-no=4618650265&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,2,G마켓,레노버 레노버 V15 13세대 i5 아이디어패드 15.6형 i5 16GB 256GB 윈도우11 홈 (5세대),Lenovo,I5,integrated,16GB,256GB,,15.6형,,942990,942990,,https://link.gmarket.co.kr/gate/pcs?item-no=3947230834&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,3,G마켓,애플 애플 맥북 네오 (A18 Pro) 8GB 256GB 블러시 MHFH4KH/A,Apple,,integrated,8GB,256GB,,,,1190000,1190000,,https://link.gmarket.co.kr/gate/pcs?item-no=4691520962&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,4,G마켓,삼성전자 갤럭시북5 프로 NT960XHA-K51A 최종 혜택가 163만 (+U5 120Hz 3K터치 윈11),삼성전자,,integrated,,,,,,2349000,2349000,,https://link.gmarket.co.kr/gate/pcs?item-no=4261715147&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,지마켓,5,G마켓,에이수스 ASUS TUF A14 FA401UM-RG007 라이젠7-260/32GB/RTX5060 QHD 게이밍 노트북 겜트북,ASUS,라이젠7,RTX5060,32GB,,,,,2910930,2910930,,https://link.gmarket.co.kr/gate/pcs?item-no=4457738717&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-30,네이버,1,네이버,"LG전자 LG그램 14ZD95U-GX56K RAM 16GB, 256GB",LG전자,,integrated,16GB,256GB,,,,1529000,1529000,,https://search.shopping.naver.com/catalog/58488180590
